incident_num,offense,date,street,lat,long,district,shooting,weekday,hour
212039982,M/V ACCIDENT - OTHER,2021-06-14,HARRISON AVE,42.33954199,-71.06940877,D4,0,Monday,19
212016705,SICK ASSIST,2021-03-16,E COTTAGE ST,42.32103493,-71.06348926,B2,0,Tuesday,3
212016224,M/V ACCIDENT - PROPERTY DAMAGE,2021-03-13,"COLUMBIA RD & HAMILTON ST
DORCHESTER  MA 02125
UNI",42.31021097,-71.072337,C11,0,Saturday,22
212007852,PROPERTY - FOUND,2021-02-05,GIBSON ST,42.29755533,-71.0597091,C11,0,Friday,0
212022552,ROBBERY,2021-04-08,HANOVER ST,42.3627524,-71.05556461,A1,0,Thursday,14
212038680,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,2021-06-10,LAGRANGE STREET,42.35866,-71.05674,A1,0,Thursday,1
212027401,TOWED MOTOR VEHICLE,2021-04-28,DABNEY ST,42.32451689,-71.0837703,B2,0,Wednesday,8
212005081,ASSAULT - SIMPLE,2021-01-24,BOWDOIN ST,42.30406551,-71.0700332,C11,0,Sunday,5
212012532,PROPERTY - LOST/ MISSING,2021-02-25,HUNTINGTON AVE,42.33954199,-71.06940877,D4,0,Thursday,16
212028384,M/V ACCIDENT - PROPERTY DAMAGE,2021-05-02,E COTTAGE ST,42.32140555,-71.07180718,B2,0,Sunday,11
212022728,LARCENY THEFT FROM MV - NON-ACCESSORY,2021-04-08,RIDGEMONT ST,42.35128926,-71.14146034,D14,0,Thursday,16
212024694,SICK ASSIST,2021-04-17,ELLINGTON ST,42.30154555,-71.08118184,B3,0,Saturday,1
212021977,SUDDEN DEATH,2021-04-06,WASHINGTON ST,42.34266946,-71.14098779,D14,0,Tuesday,9
212014614,HARASSMENT/ CRIMINAL HARASSMENT,2021-03-07,DORCHESTER AVE,42.29768954,-71.06090954,C11,0,Sunday,14
212012593,PROPERTY - FOUND,2021-02-26,PARIS ST,42.37081805,-71.03929078,A7,0,Friday,17
212009257,TOWED MOTOR VEHICLE,2021-02-12,"FELLOWS ST & NORTHAMPTON ST
ROXBURY  MA 02119
UNIT",42.333461,-71.07501803,D4,0,Friday,1
212042188,PROPERTY - LOST/ MISSING,2021-06-22,GIBSON ST,42.29755533,-71.0597091,C11,0,Tuesday,11
212020467,TOWED MOTOR VEHICLE,2021-03-31,WASHBURN ST,42.32560048,-71.05761264,C6,0,Wednesday,7
212029115,LARCENY THEFT FROM BUILDING,2021-05-04,BORDER ST,42.38166501,-71.04030314,A7,0,Tuesday,18
212032624,BURGLARY - COMMERICAL,2021-05-18,NEW SUDBURY ST,42.36183857,-71.05976489,A1,0,Tuesday,19
212008886,VANDALISM,2021-01-12,BLUE HILL AVE,42.29171816,-71.08911807,B3,0,Tuesday,17
212016019,INVESTIGATE PROPERTY,2021-03-13,MERCER ST,42.33339529,-71.04902645,C6,0,Saturday,4
212006163,PROPERTY - FOUND,2021-01-29,"MASSACHUSETTS AVE & SAINT STEPHEN ST
BOSTON  MA 02",42.343358,-71.08576901,D4,0,Friday,1
212001424,SUDDEN DEATH,2021-01-07,ARBOROUGH RD,42.28980619,-71.1281504,E5,0,Thursday,13
212000916,PROPERTY - FOUND,2021-01-05,CENTRE ST,42.28709355,-71.14822128,E5,0,Tuesday,10
212008702,BALLISTICS EVIDENCE/FOUND,2021-02-09,BOYLSTON ST,42.34862382,-71.08277637,D4,0,Tuesday,15
212005197,SICK ASSIST,2021-01-24,RIVER ST,42.26956689,-71.09075049,B3,0,Sunday,18
212026062,THREATS TO DO BODILY HARM,2021-04-22,HILLSIDE ST,42.33091626,-71.10475823,B2,0,Thursday,12
212012527,LARCENY THEFT OF BICYCLE,2021-02-26,WESTLAND AVE,42.32866284,-71.08563401,D4,0,Friday,0
212006620,M/V ACCIDENT - PROPERTY DAMAGE,2021-01-31,"COLUMBIA RD & DUDLEY ST
DORCHESTER  MA 02125
UNITE",42.31705298,-71.065214,B2,0,Sunday,8
212003720,TRESPASSING,2021-01-17,E ST,42.33694665,-71.05029732,C6,0,Sunday,20
212022973,SICK ASSIST - DRUG RELATED ILLNESS,2021-04-10,SCHOOL ST,42.31284459,-71.09676806,E13,0,Saturday,4
212029348,INVESTIGATE PROPERTY,2021-05-06,MAVERICK ST,42.36950697,-71.03747222,A7,0,Thursday,9
212021799,FRAUD - FALSE PRETENSE / SCHEME,2021-03-24,OLDFIELDS RD,42.29755533,-71.0597091,B2,0,Wednesday,0
212040193,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,2021-06-15,HANCOCK ST,42.310434,-71.0613401,C11,0,Tuesday,14
212018133,M/V ACCIDENT - OTHER,2021-03-21,"BLUE HILL AVE & COLUMBIA RD
DORCHESTER  MA 02121
U",42.30339099,-71.08527198,B3,0,Sunday,20
212025043,M/V ACCIDENT - OTHER,2021-04-18,WESTERN AVE,42.36284172,-71.13792234,D14,0,Sunday,18
212032024,SICK ASSIST,2021-05-16,MASSACHUSETTS AVE,42.34194788,-71.08362479,D4,0,Sunday,16
212042674,INVESTIGATE PERSON,2021-06-23,"SPENCER ST & ASPINWALL RD
DORCHESTER  MA 02124
UNI",42.291147,-71.07515102,B3,0,Wednesday,21
212025078,SICK ASSIST,2021-04-18,WINSTON RD,42.28508809,-71.08789462,B3,0,Sunday,20
212015779,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,2021-03-12,ARMSTRONG,42.35866,-71.05674,E13,0,Friday,11
212003360,INVESTIGATE PERSON,2021-01-15,"BOYLSTON ST & WASHINGTON ST
BOSTON  MA 02116
UNITE",42.35237302,-71.06260905,A1,0,Friday,21
212029128,SICK ASSIST,2021-05-05,HARRISON AVE,42.33401829,-71.07638124,D4,0,Wednesday,11
212019619,SICK ASSIST,2021-03-27,JAN KARSKI WAY,42.35866,-71.05674,C6,0,Saturday,15
212009809,INVESTIGATE PROPERTY,2021-02-14,HUNTINGTON AVE,42.33792266,-71.09526598,D4,0,Sunday,11
212029415,VERBAL DISPUTE,2021-05-06,ARMANDINE ST,42.28431486,-71.07410838,B3,0,Thursday,13
212016977,VANDALISM,2021-03-16,CHELSEA ST,42.37172266,-71.03665549,A7,0,Tuesday,19
212004337,INVESTIGATE PERSON,2021-01-20,BLUE HILL AVE,42.2957638,-71.08756002,B3,0,Wednesday,18
212043304,PROPERTY - LOST/ MISSING,2021-06-25,NEW SUDBURY ST,42.36183857,-71.05976489,A1,0,Friday,22
212017730,SICK ASSIST,2021-03-20,BREWSTER ST,42.33179854,-71.04042186,C6,0,Saturday,6
212005566,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),2021-01-26,HANCOCK ST,42.310434,-71.0613401,C11,0,Tuesday,14
212007967,ASSAULT - SIMPLE,2021-02-05,UNION ST,42.36068787,-71.05687293,A1,0,Friday,23
