incident_num,offense,date,street,lat,long,district,shooting,weekday,hour
192086980,MISSING PERSON,2019-10-26,ADAMS ST,42.3020390151546,-71.0600907160856,C11,0,Saturday,20
192085270,TOWED MOTOR VEHICLE,2019-10-21,BLUE HILL AVE,42.2848257658049,-71.091373689388,B3,0,Monday,16
192092106,INVESTIGATE PERSON,2019-11-13,HOMES AVE,42.3028839734803,-71.0691879754741,C11,0,Wednesday,20
192086616,VANDALISM,2019-10-25,E NEWTON ST,42.3379427431525,-71.0725012567005,D4,0,Friday,20
192097004,BOMB THREAT,2019-12-01,GENEVA AVE,42.2984886615439,-71.0631329417796,C11,0,Sunday,16
192086207,M/V - LEAVING SCENE - PROPERTY DAMAGE,2019-10-20,F ST,42.3412875043904,-71.054679326494,C6,0,Sunday,0
192087794,WARRANT ARREST - OUTSIDE OF BOSTON WARRANT,2019-10-30,ATLANTIC AVE,42.3532162602835,-71.0545195776332,A1,0,Wednesday,7
192092615,HARASSMENT/ CRIMINAL HARASSMENT,2019-11-15,HYDE PARK AVE,42.2562159204022,-71.1240194732902,E18,0,Friday,16
192104972,VAL - OPERATING AFTER REV/SUSP.,2019-12-31,"BOYLSTON ST & BERKELEY ST
BOSTON  MA 02116
UNITED ",42.3512509781339,-71.0730519452653,D4,0,Tuesday,12
202015061,ASSAULT - SIMPLE,2019-10-31,WILLIAM T MORRISSEY BLVD,42.2975553295965,-71.0597091024257,C6,0,Thursday,0
192085527,VANDALISM,2019-10-19,BROWNING AVE,42.3286628355561,-71.0856340118355,B3,0,Saturday,0
192089261,INVESTIGATE PERSON,2019-11-03,E FIFTH ST,42.3338525014777,-71.0407112384802,C6,0,Sunday,21
192093770,INVESTIGATE PERSON,2019-11-19,WOODWARD PARK ST,42.3186292577949,-71.07271364643,B2,0,Tuesday,18
192088836,INVESTIGATE PERSON,2019-11-02,NORWELL ST,42.2963148082687,-71.078390286742,B3,0,Saturday,10
192092949,M/V - LEAVING SCENE - PROPERTY DAMAGE,2019-10-22,PAYSON AVE,42.2975553295965,-71.0597091024257,C11,0,Tuesday,9
192092608,M/V - LEAVING SCENE - PROPERTY DAMAGE,2019-11-15,W NINTH ST,42.3331611476742,-71.0524643656114,C6,0,Friday,16
192093750,VAL - VIOLATION OF AUTO LAW,2019-11-19,"WASHINGTON ST. & WEST ST
BOSTON  MA 02111
UNITED S",42.3543350168986,-71.061709042819,A1,0,Tuesday,16
192083275,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,2019-10-14,BOYLSTON ST,42.3523414041986,-71.062969873611,A1,0,Monday,20
192099289,SICK/INJURED/MEDICAL - PERSON,2019-12-10,OLD IRONSIDES WAY,42.3802047474877,-71.0574140035205,A15,0,Tuesday,4
192079698,ASSAULT - SIMPLE,2019-10-02,DIMOCK ST,42.3194977919363,-71.0970735175351,B2,0,Wednesday,14
